ISO|Time|Value
DOM|05/16/2021|34
DOM|05/23/2021|36
DZA|01/24/2021|0
DZA|01/31/2021|
DZA|02/07/2021|
DZA|02/14/2021|0
ECU|01/17/2021|0
ECU|01/24/2021|0
ECU|01/31/2021|0
ECU|02/07/2021|
ECU|02/14/2021|0
ECU|02/21/2021|0
ECU|02/28/2021|0
ECU|03/07/2021|1
ECU|03/14/2021|1
ECU|03/21/2021|1
ECU|03/28/2021|2
ECU|04/04/2021|2
ECU|04/11/2021|3
ECU|04/18/2021|4
ECU|04/25/2021|6
ECU|05/02/2021|7
ECU|05/09/2021|8
ECU|05/16/2021|11
ECU|05/23/2021|11
EGY|01/24/2021|0
EGY|01/31/2021|
EGY|02/07/2021|
EGY|02/14/2021|
EGY|02/21/2021|
EGY|02/28/2021|
EGY|03/07/2021|
EGY|03/14/2021|
EGY|03/21/2021|0
EGY|03/28/2021|
EGY|04/04/2021|
EGY|04/11/2021|
EGY|04/18/2021|1
EGY|04/25/2021|
EGY|05/02/2021|
EGY|05/09/2021|1
EGY|05/16/2021|2
EGY|05/23/2021|2
ESP|01/03/2021|1
ESP|01/10/2021|2
ESP|01/17/2021|2
ESP|01/24/2021|3
ESP|01/31/2021|4
ESP|02/07/2021|5
ESP|02/14/2021|6
ESP|02/21/2021|8
ESP|02/28/2021|10
ESP|03/07/2021|11
ESP|03/14/2021|13
ESP|03/21/2021|15
ESP|03/28/2021|18
ESP|04/04/2021|22
ESP|04/11/2021|26
ESP|04/18/2021|31
ESP|04/25/2021|35
ESP|05/02/2021|41
ESP|05/09/2021|46
ESP|05/16/2021|51
ESP|05/23/2021|54
EST|01/03/2021|1
EST|01/10/2021|1
EST|01/17/2021|2
EST|01/24/2021|3
EST|01/31/2021|4
EST|02/07/2021|5
EST|02/14/2021|7
EST|02/21/2021|8
EST|02/28/2021|11
EST|03/07/2021|14
EST|03/14/2021|17
EST|03/21/2021|19
EST|03/28/2021|22
EST|04/04/2021|25
EST|04/11/2021|28
EST|04/18/2021|31
EST|04/25/2021|35
EST|05/02/2021|40
EST|05/09/2021|44
EST|05/16/2021|48
EST|05/23/2021|50
ETH|04/04/2021|0
ETH|04/11/2021|
ETH|04/18/2021|
ETH|04/25/2021|1
ETH|05/02/2021|1
ETH|05/09/2021|1
ETH|05/16/2021|1
ETH|05/23/2021|1
FIN|01/03/2021|0
FIN|01/10/2021|1
FIN|01/17/2021|2
FIN|01/24/2021|3
FIN|01/31/2021|4
FIN|02/07/2021|5
FIN|02/14/2021|6
FIN|02/21/2021|8
FIN|02/28/2021|10
FIN|03/07/2021|12
FIN|03/14/2021|15
FIN|03/21/2021|17
FIN|03/28/2021|19
FIN|04/04/2021|21
FIN|04/11/2021|25
FIN|04/18/2021|29
FIN|04/25/2021|34
FIN|05/02/2021|39
FIN|05/09/2021|43
FIN|05/16/2021|48
FIN|05/23/2021|51
FJI|03/14/2021|0
FJI|03/21/2021|
FJI|03/28/2021|
FJI|04/04/2021|
FJI|04/11/2021|6
FJI|04/18/2021|6
FJI|04/25/2021|
FJI|05/02/2021|
FJI|05/09/2021|10
FLK|02/07/2021|0
FLK|02/14/2021|44
FLK|02/21/2021|50
FLK|02/28/2021|
FLK|03/07/2021|
FLK|03/14/2021|
FLK|03/21/2021|63
FLK|03/28/2021|
FLK|04/04/2021|124
FLK|04/11/2021|127
FRA|01/03/2021|0
FRA|01/10/2021|1
FRA|01/17/2021|2
FRA|01/24/2021|2
FRA|01/31/2021|3
FRA|02/07/2021|4
FRA|02/14/2021|6
FRA|02/21/2021|7
FRA|02/28/2021|9
FRA|03/07/2021|11
FRA|03/14/2021|13
FRA|03/21/2021|16
FRA|03/28/2021|19
FRA|04/04/2021|22
FRA|04/11/2021|25
FRA|04/18/2021|29
FRA|04/25/2021|33
FRA|05/02/2021|38
FRA|05/09/2021|43
FRA|05/16/2021|48
FRA|05/23/2021|50
FRO|01/24/2021|8
FRO|01/31/2021|10
FRO|02/07/2021|11
FRO|02/14/2021|
FRO|02/21/2021|14
FRO|02/28/2021|16
FRO|03/07/2021|18
FRO|03/14/2021|19
FRO|03/21/2021|20
FRO|03/28/2021|22
FRO|04/04/2021|24
FRO|04/11/2021|29
FRO|04/18/2021|35
FRO|04/25/2021|41
FRO|05/02/2021|46
FRO|05/09/2021|54
FRO|05/16/2021|57
FRO|05/23/2021|63
GAB|03/21/2021|0
GAB|03/28/2021|0
GAB|04/04/2021|0
GAB|04/11/2021|0
GAB|04/18/2021|0
GAB|04/25/2021|0
GAB|05/02/2021|1
GAB|05/09/2021|
GAB|05/16/2021|1
GBR|01/03/2021|2
GBR|01/10/2021|6
GBR|01/17/2021|10
GBR|01/24/2021|14
GBR|01/31/2021|18
GBR|02/07/2021|23
GBR|02/14/2021|27
GBR|02/21/2021|31
GBR|02/28/2021|34
GBR|03/07/2021|38
GBR|03/14/2021|44
GBR|03/21/2021|50
GBR|03/28/2021|54
GBR|04/04/2021|58
GBR|04/11/2021|63
GBR|04/18/2021|68
GBR|04/25/2021|73
GBR|05/02/2021|78
GBR|05/09/2021|83
GBR|05/16/2021|89
GBR|05/23/2021|91
GEO|03/14/2021|0
GEO|03/21/2021|
GEO|03/28/2021|0
GEO|04/04/2021|0
GEO|04/11/2021|1
GEO|04/18/2021|1
GEO|04/25/2021|1
GEO|05/02/2021|2
GEO|05/09/2021|2
GEO|05/16/2021|3
GEO|05/23/2021|3
GGY|01/24/2021|10
GGY|01/31/2021|
GGY|02/07/2021|23
GGY|02/14/2021|29
GGY|02/21/2021|30
GGY|02/28/2021|33
GGY|03/07/2021|44
GGY|03/14/2021|
GGY|03/21/2021|
GGY|03/28/2021|
GGY|04/04/2021|56
GGY|04/11/2021|64
GGY|04/18/2021|69
GGY|04/25/2021|
GGY|05/02/2021|
GGY|05/09/2021|83
GGY|05/16/2021|88
GGY|05/23/2021|93
GHA|02/28/2021|0
GHA|03/07/2021|1
GHA|03/14/2021|1
GHA|03/21/2021|2
GHA|03/28/2021|
GHA|04/04/2021|2
GHA|04/11/2021|2
GHA|04/18/2021|3
GHA|04/25/2021|3
GHA|05/02/2021|
GHA|05/09/2021|
GHA|05/16/2021|
GHA|05/23/2021|3
GIB|01/10/2021|17
GIB|01/17/2021|29
GIB|01/24/2021|38
GIB|01/31/2021|57
GIB|02/07/2021|75
GIB|02/14/2021|87
GIB|02/21/2021|109
GIB|02/28/2021|130
GIB|03/07/2021|137
GIB|03/14/2021|158
GIB|03/21/2021|174
GIB|03/28/2021|181
GIB|04/04/2021|189
GIB|04/11/2021|197
GIB|04/18/2021|202
GIB|04/25/2021|211
GIB|05/02/2021|220
GIB|05/09/2021|221
GIB|05/16/2021|226
GIN|03/14/2021|
GIN|03/21/2021|
GIN|03/28/2021|0
GIN|04/04/2021|1
GIN|04/11/2021|1
GIN|04/18/2021|1
GIN|04/25/2021|1
GIN|05/02/2021|1
GIN|05/09/2021|2
GIN|05/16/2021|2
GIN|05/23/2021|2
GMB|03/07/2021|0
GMB|03/14/2021|
GMB|03/21/2021|
GMB|03/28/2021|0
GMB|04/04/2021|1
GMB|04/11/2021|
GMB|04/18/2021|1
GMB|04/25/2021|
GMB|05/02/2021|1
GMB|05/09/2021|1
GMB|05/16/2021|1
GNB|05/09/2021|0
GNQ|03/14/2021|0
GNQ|03/21/2021|
GNQ|03/28/2021|1
GNQ|04/04/2021|
GNQ|04/11/2021|2
GNQ|04/18/2021|4
GNQ|04/25/2021|5
GNQ|05/02/2021|
GNQ|05/09/2021|
GNQ|05/16/2021|14
GNQ|05/23/2021|15
GRC|01/03/2021|0
GRC|01/10/2021|1
GRC|01/17/2021|2
GRC|01/24/2021|3
GRC|01/31/2021|4
GRC|02/07/2021|5
GRC|02/14/2021|7
GRC|02/21/2021|9
GRC|02/28/2021|10
GRC|03/07/2021|12
GRC|03/14/2021|14
GRC|03/21/2021|15
GRC|03/28/2021|18
GRC|04/04/2021|21
GRC|04/11/2021|24
GRC|04/18/2021|27
GRC|04/25/2021|30
GRC|05/02/2021|35
GRC|05/09/2021|41
GRC|05/16/2021|47
GRC|05/23/2021|50
